year,title,category,nominee,artist,track_id,artists,album_name,track_name,popularity,explicit,danceability,energy,loudness,acousticness,valence,track_genre,duration_min
1984,27th Annual GRAMMY Awards  (1984),"Best R&B Vocal Performance, Female",i feel for you,Chaka Khan,7DCiOOtP3baRrHoSzlkNuj,Chaka Khan,OK Boomers - Top Tunes,i feel for you,0,False,79.4,92.5,-3.776,1.18,92.4,disco,3.65
1984,27th Annual GRAMMY Awards  (1984),"Best R&B Vocal Performance, Male",caribbean queen (no more love on the run),Billy Ocean,4JEylZNW8SbO4zUyfVrpb7,Billy Ocean,The Very Best of Billy Ocean,caribbean queen (no more love on the run),69,False,79.0,64.9,-7.507,16.6,95.4,disco,4.07
1983,26th Annual GRAMMY Awards  (1983),"Best Pop Vocal Performance, Male",thriller,Michael Jackson,7azo4rpSUh8nXgtonC6Pkq,Michael Jackson,Scream,thriller,70,False,76.4,88.7,-3.726,8.16,72.0,soul,5.97
1983,26th Annual GRAMMY Awards  (1983),Best Pop Performance By A Duo Or Group With Vocal,every breath you take,The Police,1JSTJqkT5qHq8MDJnJbRE1,The Police,Synchronicity (Remastered 2003),every breath you take,86,False,82.0,45.2,-9.796,54.3,74.0,rock,4.23
1982,25th Annual GRAMMY Awards  (1982),"Best Pop Vocal Performance, Male",truly,Lionel Richie,7AslBsiVLQAGrmFmi79ZeK,Lionel Richie,Lionel Richie,truly,60,False,36.6,23.8,-13.853,64.6,13.1,disco,3.34
1982,25th Annual GRAMMY Awards  (1982),Best Rock Performance By A Duo Or Group With Vocal,eye of the tiger,Survivor,2KH16WveTQWT6KOG9Rg6e2,Survivor,Rocky IV,eye of the tiger,77,False,81.7,59.9,-9.249,13.2,54.8,rock,4.09
1981,24th Annual GRAMMY Awards  (1981),"Best Country Vocal Performance, Female",9 to 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,Dolly Parton,9 To 5 And Odd Jobs,9 to 5,77,False,55.4,78.3,-5.852,41.6,81.3,country,2.71
1980,23rd Annual GRAMMY Awards  (1980),Record Of The Year,sailing,Christopher Cross,6Hu6dzwlvoyg3zBUC8k4BK,Christopher Cross,Christopher Cross,sailing,71,False,46.9,38.2,-13.203,36.4,17.8,disco,4.27
1980,23rd Annual GRAMMY Awards  (1980),"Best Country Vocal Performance, Male",he stopped loving her today,George Jones,1q0wCfrE9eGFMzS2g8aVnx,George Jones,I Am What I Am (Expanded Edition),he stopped loving her today,56,False,35.1,21.0,-14.838,76.0,39.4,honky-tonk,3.26
1979,22nd Annual GRAMMY Awards  (1979),Record Of The Year,what a fool believes,The Doobie Brothers,05fL1P3yj5DLIE9mF7pf1z,The Doobie Brothers,OK Boomers - Top Tunes,what a fool believes,0,False,64.6,62.5,-8.819,27.5,97.7,blues,3.66
1979,22nd Annual GRAMMY Awards  (1979),"Best Rock Vocal Performance, Female",hot stuff,Donna Summer,2zMJN9JvDlvGP4jB03l1Bz,Donna Summer,Bad Girls,hot stuff,67,False,82.3,74.3,-13.98,0.56,96.6,disco,5.25
1979,22nd Annual GRAMMY Awards  (1979),"Best R&B Vocal Performance By A Duo, Group Or Chorus",after the love has gone,"Earth, Wind & Fire",3cfnGXJ9bmiWvFqEO6ff8B,"Earth, Wind & Fire",I Am,after the love has gone,67,False,42.4,44.3,-13.45,53.2,39.1,disco,4.63
1979,22nd Annual GRAMMY Awards  (1979),"Best Country Vocal Performance, Male",the gambler,Kenny Rogers,5KqldkCunQ2rWxruMEtGh0,Kenny Rogers,The Gambler,the gambler,75,False,67.1,50.1,-13.119,34.2,86.0,country,3.58
1978,21st Annual GRAMMY Awards  (1978),Record Of The Year,just the way you are,Billy Joel,49MHCPzvMLXhRjDantBMVH,Billy Joel,The Stranger (Legacy Edition),just the way you are,72,False,58.9,45.3,-8.912,70.3,51.3,piano,4.84
1978,21st Annual GRAMMY Awards  (1978),"Best Pop Vocal Performance, Male",copacabana (at the copa),Barry Manilow,3hWOGUIOcqKDoVpFBLp9Qc,Barry Manilow,The Greatest Songs Of The Seventies,copacabana (at the copa),56,False,76.3,66.5,-7.914,54.2,80.3,disco,4.02
1977,20th Annual GRAMMY Awards  (1977),Best Pop Vocal Performance By A Group,how deep is your love,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP,Bee Gees,Greatest,how deep is your love,74,False,63.3,35.7,-9.366,10.5,67.4,disco,4.09
1976,19th Annual GRAMMY Awards  (1976),"Best Pop Vocal Performance By A Duo, Group Or Chorus",if you leave me now,Chicago,0KMGxYKeUzK9wc5DZCt3HT,Chicago,Chicago X,if you leave me now,74,False,43.4,56.3,-6.784,1.97,27.5,singer-songwriter,3.92
1976,19th Annual GRAMMY Awards  (1976),Best Pop Instrumental Performance,breezin',George Benson,1m3BAsNsQAaSNMD2M6vlKY,George Benson,Breezin',breezin',60,False,68.2,75.2,-9.521,47.6,96.4,guitar,5.7
1973,16th Annual GRAMMY Awards  (1973),Record Of The Year,killing me softly with his song,Roberta Flack,3gsCAGsWr6pUm1Vy7CPPob,Roberta Flack,Killing Me Softly,killing me softly with his song,72,False,47.6,38.1,-10.238,72.7,33.0,disco,4.78
1973,16th Annual GRAMMY Awards  (1973),"Best Pop Vocal Performance, Female",killing me softly with his song,Roberta Flack,3gsCAGsWr6pUm1Vy7CPPob,Roberta Flack,Killing Me Softly,killing me softly with his song,72,False,47.6,38.1,-10.238,72.7,33.0,disco,4.78
1973,16th Annual GRAMMY Awards  (1973),"Best R&B Vocal Performance, Male",superstition,Stevie Wonder,7yss3y4G3zjtufzx8adHMb,Stevie Wonder,Halloween Hits,superstition,4,False,61.1,58.3,-14.182,5.7,87.7,funk,4.46
1973,16th Annual GRAMMY Awards  (1973),"Best R&B Vocal Performance By A Duo, Group Or Chorus",midnight train to georgia,Gladys Knight & The Pips,7MF7QAodbGzNYav5ZfIhAY,Gladys Knight & The Pips,Imagination (Expanded Edition),midnight train to georgia,71,False,59.5,37.9,-12.058,27.1,44.8,disco,4.66
1973,16th Annual GRAMMY Awards  (1973),"Best Country Vocal Performance, Male",behind closed doors,Charlie Rich,6d7Jz2np6jtNaZv1DiWfJs,Charlie Rich,Love Songs,behind closed doors,55,False,49.2,32.9,-11.788,96.1,58.9,rockabilly,2.91
1970,13th Annual GRAMMY Awards  (1970),"Best R&B Vocal Performance, Male",the thrill is gone,B.B. King,4NQfrmGs9iQXVQI9IpRhjM,B.B. King,Completely Well,the thrill is gone,62,False,54.7,46.0,-8.759,34.4,54.3,blues,5.41
1970,13th Annual GRAMMY Awards  (1970),"Best Country Vocal Performance, Male",for the good times,Ray Price,4cIGNFaKpoVuJfVvixS0mU,Ray Price,The Essential Ray Price,for the good times,47,False,35.2,20.4,-15.414,76.0,52.4,honky-tonk,3.8
1968,11th Annual GRAMMY Awards  (1968),"Best Rhythm & Blues Vocal Performance, Male",(sittin' on) the dock of the bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF,Otis Redding,The Dock of the Bay (Mono),(sittin' on) the dock of the bay,76,False,76.9,36.7,-11.226,68.4,53.5,blues,2.73
1964,7th Annual GRAMMY Awards  (1964),"Best Vocal Performance, Male","hello, dolly!",Louis Armstrong,63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong,"Hello, Dolly! (Remastered)","hello, dolly!",62,False,0.0,40.5,-9.935,84.2,0.0,jazz,2.45
1963,6th Annual GRAMMY Awards  (1963),"Best Vocal Performance, Male",wives and lovers,Jack Jones,5ed6ezVcZb4tqkdh3ZWDLM,Jack Jones,The Greatest Jazz Mix,wives and lovers,0,False,48.5,51.1,-10.818,59.7,53.1,j-pop,2.5
1959,2nd Annual GRAMMY Awards  (1959),Record Of The Year,mack the knife,Bobby Darin,3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,That's All,mack the knife,62,False,54.9,52.9,-12.291,76.0,46.4,rockabilly,3.07
1958,1st Annual GRAMMY Awards  (1958),Best Rhythm & Blues Performance,tequila,The Champs,5gJKsGij5oGt5H5RSFYXPa,The Champs,Greatest Hits / Tequila,tequila,60,False,67.1,74.2,-9.912,12.1,89.7,rock-n-roll,2.25
